Species CopyNumber PercentMatches FullLength ConsensusLength fr_A_cons fr_T_cons fr_G_cons fr_C_cons fr_A_repeat fr_T_repeat fr_G_repeat fr_C_repeat RepeatsNumber
Accipiter_virgatus 2.6 100 127 49 19 12 8 10 48 29 23 28 16
Accipiter_virgatus 2.6 100 127 49 19 12 8 10 48 29 23 28 16
Accipiter_virgatus 3.5 85 38 11 3 6 0 2 10 19 1 9 16
Accipiter_virgatus 3.5 85 38 11 3 6 0 2 10 19 1 9 16
Accipiter_virgatus 6.5 92 141 21 4 9 2 6 27 60 14 41 16
Accipiter_virgatus 6.5 92 141 21 4 9 2 6 27 60 14 41 16
Acentrogobius_chlorostigmatoides 5.5 99 649 119 46 37 18 18 249 207 98 96 2
Acentrogobius_chlorostigmatoides 2.5 80 41 17 8 6 1 2 19 16 1 6 2
Acentrogobius_pflaumii 1.9 84 38 20 1 8 0 11 2 15 1 21 1
Acheilognathus_typus 1.9 84 39 21 4 7 4 6 7 15 7 11 1
Achirus_lineatus 2.2 86 94 42 17 15 5 5 37 39 9 10 1
Acipenser_baerii 2.1 95 346 164 63 57 14 30 131 120 29 67 2
Acipenser_baerii 4.2 94 346 82 30 30 7 15 131 120 29 67 2
Acipenser_gueldenstaedtii 2.2 100 177 82 28 29 9 16 61 64 19 34 1
Acipenser_medirostris 3.2 64 123 39 15 14 3 7 48 44 9 23 3
Acipenser_medirostris 2.6 100 205 78 29 28 6 15 74 75 15 42 3
Acipenser_medirostris 3.2 64 123 39 14 14 3 8 47 44 9 24 3
Acipenser_ruthenus 4.5 100 360 80 27 28 9 16 122 126 39 74 1
Acipenser_schrenckii 5.2 64 210 39 13 14 3 9 73 76 21 41 2
Acipenser_schrenckii 3.6 99 294 82 28 30 9 15 99 111 30 55 2
Acipenser_schrenckii_x_Huso_dauricus 3.6 98 294 82 29 30 8 15 102 111 27 55 2
Acipenser_schrenckii_x_Huso_dauricus 5.2 65 210 39 13 15 3 8 75 77 19 40 2
Acipenser_sinensis 3.2 100 259 82 28 30 9 15 89 96 28 47 2
Acipenser_sinensis 3.2 67 131 43 16 16 5 6 48 48 14 22 2
Acipenser_stellatus 3.5 100 285 82 31 28 7 16 106 98 24 58 3
Acipenser_stellatus 3.1 60 134 47 17 15 4 11 52 44 11 28 3
Acipenser_stellatus 5.2 65 213 43 17 16 4 6 83 74 18 39 3
Acipenser_transmontanus 5.2 62 210 39 14 10 3 12 78 64 19 50 4
Acipenser_transmontanus 5.2 62 214 43 16 16 5 6 80 70 21 44 4
Acipenser_transmontanus 5.1 61 207 39 16 11 5 7 77 65 22 44 4
Acipenser_transmontanus 3.4 100 279 82 30 26 8 18 100 91 27 62 4
Acrossocheilus_barbodon 12.5 100 24 2 1 1 0 0 12 13 0 0 1
Acrossocheilus_beijiangensis 14.5 100 28 2 1 1 0 0 14 15 0 0 1
Acrossocheilus_fasciatus 14.5 100 28 2 1 1 0 0 14 15 0 0 1
Acrossocheilus_hemispinus 13.5 100 26 2 1 1 0 0 13 14 0 0 1
Acrossocheilus_kreyenbergii 2 100 539 271 112 82 28 49 223 163 56 98 2
Acrossocheilus_kreyenbergii 13.5 100 26 2 1 1 0 0 13 14 0 0 2
Acrossocheilus_monticola 12.5 100 24 2 1 1 0 0 12 13 0 0 1
Acrossocheilus_paradoxus 13 100 25 2 1 1 0 0 13 13 0 0 1
Acrossocheilus_parallens 13.5 100 26 2 1 1 0 0 13 14 0 0 1
Acrossocheilus_stenotaeniatus 14 100 27 2 1 1 0 0 14 14 0 0 1
Acrossocheilus_wenchowensis 13.5 100 26 2 1 1 0 0 13 14 0 0 1
Acrossocheilus_yunnanensis 14 100 27 2 1 1 0 0 14 14 0 0 1
Acryllium_vulturinum 2.8 90 30 11 3 8 0 0 8 23 0 0 1
Aegotheles_cristatus 1.9 90 41 22 9 9 1 3 16 19 2 5 4
Aegotheles_cristatus 18.1 86 172 10 7 0 0 3 119 0 0 54 4
Aegotheles_cristatus 12.6 93 162 13 9 0 0 4 113 0 0 50 4
Aegotheles_cristatus 53 86 170 3 2 0 0 1 118 0 0 53 4
Aethopyga_gouldiae 2 88 34 17 14 1 0 2 27 2 0 6 2
Aethopyga_gouldiae 2.9 75 45 17 13 0 0 4 35 1 0 10 2
Aetobatus_flagellum 8.9 98 666 75 24 29 12 10 215 255 110 87 3
Aetobatus_flagellum 3.2 99 695 215 72 55 19 69 233 176 65 222 3
Aetobatus_flagellum 9 99 423 47 15 17 4 11 140 157 28 99 3
Ailuropoda_melanoleuca 33 93 329 10 2 2 3 3 66 79 99 86 1
Ailurus_fulgens 24.1 95 192 8 3 2 1 2 73 41 24 55 1
Ailurus_fulgens_styani 9.1 100 72 8 3 2 1 2 28 18 9 18 1
Akrokolioplax_bicornis 2 85 37 19 9 7 1 2 16 16 2 4 1
Alces_alces 3.2 63 115 35 15 12 4 4 48 39 11 18 5
Alces_alces 3.4 69 130 40 18 13 4 5 55 44 12 20 5
Alces_alces 2.3 88 58 26 10 10 4 2 22 21 8 8 5
Alces_alces 2.1 100 156 75 30 25 7 13 63 52 15 27 5
Alces_alces 3.5 68 125 35 12 12 3 8 48 44 12 22 5
Aldabrachelys_gigantea 24 100 47 2 1 1 0 0 24 24 0 0 1
Alectoris_chukar 1.9 100 24 13 6 6 0 1 12 12 0 1 1
Alepocephalus_agassizii 2 100 33 17 6 1 1 9 12 2 2 18 1
Alepocephalus_bicolor 2 94 342 176 46 46 37 47 85 91 78 89 1
Alepocephalus_productus 2.3 100 26 12 5 0 0 7 12 0 0 15 1
Alligator_mississippiensis 18.2 96 384 21 7 9 3 2 136 171 45 33 2
Alligator_mississippiensis 3.6 100 79 22 10 11 0 1 36 41 0 3 2
Alligator_sinensis 5.6 90 361 64 26 24 7 7 146 132 41 43 3
Alligator_sinensis 2.8 94 361 129 50 48 16 15 146 132 41 43 3
Alligator_sinensis 17 91 362 21 8 8 3 2 147 132 41 43 3
Alopias_pelagicus 2 86 90 46 18 17 1 10 31 37 2 21 1
Alopias_superciliosus 2 84 90 46 18 16 1 11 31 36 2 22 1
Alosa_alabamae 3.4 100 26 8 1 0 3 4 4 0 10 13 2
Alosa_alabamae 2.4 100 96 40 15 17 4 4 37 41 9 10 2
Alosa_alosa 2.7 98 106 40 16 17 3 4 42 44 9 12 1
Alosa_sapidissima 3.6 70 72 21 9 9 2 1 29 31 6 7 2
Alosa_sapidissima 2.7 89 105 40 16 17 3 4 42 44 10 10 2
Alouatta_seniculus 3.7 100 36 10 5 5 0 0 19 18 0 0 1
Alytes_obstetricans_pertinax 3.9 98 348 89 27 32 11 19 103 123 46 77 6
Alytes_obstetricans_pertinax 5.6 98 515 92 35 34 8 15 195 190 44 87 6
Alytes_obstetricans_pertinax 3 88 224 75 29 30 5 11 85 86 18 36 6
Alytes_obstetricans_pertinax 8 72 350 43 11 15 6 11 100 127 45 79 6
Alytes_obstetricans_pertinax 3.2 94 581 184 70 68 16 30 219 217 51 95 6
Alytes_obstetricans_pertinax 1.9 86 255 132 41 47 15 29 71 93 33 59 6
Amaurornis_akool 2.7 100 26 10 0 8 1 1 0 23 2 2 1
Amaurornis_phoenicurus 2.7 100 26 10 0 8 1 1 0 23 2 2 4
Amaurornis_phoenicurus 2.5 100 27 11 1 10 0 0 2 26 0 0 4
Amaurornis_phoenicurus 1.9 94 37 20 2 18 0 0 3 34 0 1 4
Amaurornis_phoenicurus 16.1 98 160 10 4 6 0 0 60 100 0 1 4
Amazilia_versicolor 2.1 100 36 18 5 4 3 6 10 8 6 13 2
Amazilia_versicolor 10.1 100 100 10 8 0 0 2 81 0 0 20 2
Amazona_ochrocephala 36.5 97 289 8 1 4 1 2 37 144 37 70 14
Amazona_ochrocephala 36.5 97 289 8 1 4 1 2 37 144 37 70 14
Amazona_ochrocephala 4.8 94 113 24 0 15 6 3 0 74 29 11 14
Amazona_ochrocephala 4.8 94 113 24 0 15 6 3 0 74 29 11 14
Amazona_ochrocephala 2.6 91 35 14 10 0 0 4 25 0 0 11 14
Amazona_ochrocephala 2.6 91 35 14 10 0 0 4 25 0 0 11 14
Amazona_ochrocephala 2.6 91 35 14 10 0 0 4 25 0 0 11 14
Amazona_ochrocephala 2.6 91 35 14 10 0 0 4 25 0 0 11 14
Amazona_ochrocephala 8.8 93 33 4 0 3 1 0 0 26 8 0 14
Amazona_ochrocephala 8.8 93 33 4 0 3 1 0 0 26 8 0 14
Amazona_ochrocephala 12.4 98 97 8 0 5 2 1 0 62 25 11 14
Amazona_ochrocephala 12.4 98 97 8 0 5 2 1 0 62 25 11 14
Amazona_ochrocephala 8.8 93 35 4 0 3 1 0 0 28 8 0 14
Amazona_ochrocephala 8.8 93 35 4 0 3 1 0 0 28 8 0 14
Amazonsprattus_scintilla 3.1 96 119 39 15 17 4 3 44 51 15 10 1
Amblychaeturichthys_hexanema 16.1 99 273 17 5 7 3 2 86 113 43 32 3
Amblychaeturichthys_hexanema 21.9 99 807 37 13 16 3 5 287 348 64 109 3
Amblychaeturichthys_hexanema 5.4 100 674 126 43 45 15 23 230 243 78 124 3
Amblydoras_gonzalezi 2 82 66 34 12 12 7 3 22 27 11 7 1
Amblyraja_radiata 5.1 98 75 15 5 1 2 7 24 5 11 36 2
Amblyraja_radiata 2 85 37 19 8 8 2 1 15 16 4 3 2
Ambystoma_andersoni 2.1 100 24 12 5 5 0 2 11 10 0 4 1
Ambystoma_barbouri 2 93 30 16 5 9 0 2 10 18 0 3 1
Ambystoma_californiense 2.3 100 27 12 5 5 0 2 12 12 0 4 1
Ambystoma_dumerilii 2.3 100 27 12 5 5 0 2 12 12 0 4 1
Ambystoma_mexicanum 2.1 100 24 12 5 5 0 2 11 10 0 4 1
Ambystoma_tigrinum_tigrinum 2.1 100 24 12 5 5 0 2 11 10 0 4 2
Ambystoma_tigrinum_tigrinum 1.9 100 28 15 5 8 0 2 9 16 0 4 2
Ambystoma_unisexual_lineage_LJJJ 1.9 93 29 16 5 10 0 1 10 19 0 1 1
Amia_calva 20.2 100 483 24 9 9 2 4 181 181 41 81 1
Amolops_loloensis 5.1 75 866 165 63 59 12 31 346 323 58 140 8
Amolops_loloensis 2.6 87 866 334 137 123 19 55 346 323 58 140 8
Amolops_loloensis 2 100 293 147 43 35 19 50 86 70 38 100 8
Amolops_loloensis 2.6 85 657 254 105 92 17 40 260 246 45 107 8
Amolops_loloensis 6 91 501 82 32 29 5 16 195 188 34 85 8
Amolops_loloensis 22.2 98 487 22 8 9 1 4 158 216 32 82 8
Amolops_loloensis 4 85 353 88 36 34 5 13 148 133 19 54 8
Amolops_loloensis 2 95 41 22 9 8 3 2 17 16 5 4 8
Amolops_mantzorum 2.5 98 218 89 37 31 5 16 91 76 12 40 5
Amolops_mantzorum 2.6 75 277 109 53 39 7 10 125 108 16 29 5
Amolops_mantzorum 2.2 94 32 15 7 6 0 2 14 15 0 4 5
Amolops_mantzorum 1.8 86 452 248 115 82 10 41 196 158 23 76 5
Amolops_mantzorum 3.8 79 336 87 39 35 3 10 151 127 14 45 5
Amolops_ricketti 16.5 89 180 11 4 4 1 2 64 67 22 28 2
Amolops_ricketti 4.4 100 91 21 9 7 4 1 39 32 17 4 2
Amolops_wuyiensis 30.4 98 333 11 4 5 1 1 112 152 31 39 2
Amolops_wuyiensis 4.8 96 99 21 8 8 4 1 40 38 17 5 2
Amoya_chusanensis 2.5 80 41 17 8 6 1 2 19 16 2 5 1
Amphiprion_akallopisos 2.5 100 197 79 26 28 8 17 68 74 17 39 2
Amphiprion_akallopisos 1.8 97 192 105 25 26 22 32 50 41 41 61 2
Amphiprion_clarkii 5.5 100 445 81 25 25 8 23 140 143 41 122 1
Amphiprion_ephippium 2.5 100 197 79 26 28 8 17 68 74 17 39 2
Amphiprion_ephippium 1.9 99 207 109 26 27 22 34 52 47 42 67 2
Amphiprion_frenatus 6.8 100 230 34 15 16 0 3 101 110 0 20 1
Amphiprion_polymnus 3.5 100 278 79 29 28 7 15 105 103 21 50 1
Amphiprion_sebae 2.5 100 202 81 25 25 8 23 65 68 17 53 1
Amphisbaena_schmidti 2.9 100 59 21 9 3 2 7 26 8 6 20 5
Amphisbaena_schmidti 3.8 87 42 11 9 0 0 2 33 1 0 9 5
Amphisbaena_schmidti 3.8 98 317 85 27 30 13 15 106 107 48 57 5
Amphisbaena_schmidti 10.8 79 40 4 3 0 0 1 31 1 0 9 5
Amphisbaena_schmidti 13 100 585 45 11 13 7 14 143 169 91 183 5
Anabas_testudineus 4.2 97 184 44 20 11 3 10 84 44 14 43 1
Anas_acuta 2.5 82 42 17 6 3 2 6 13 7 6 17 1
Anas_clypeata 2.3 90 33 15 6 1 0 8 10 2 0 22 1
Andinoacara_rivulatus 2 100 106 53 24 8 10 11 48 17 20 22 1
Andrias_davidianus 2 94 388 198 62 60 33 43 118 119 68 84 1
Aneides_flavipunctatus 2.8 90 46 17 8 8 0 1 21 24 0 2 7
Aneides_flavipunctatus 13.5 76 115 8 3 5 0 0 37 71 5 3 7
Aneides_flavipunctatus 22.8 77 219 10 4 6 0 0 82 123 4 11 7
Aneides_flavipunctatus 9.8 98 642 66 25 15 6 20 245 142 55 201 7
Aneides_flavipunctatus 2 98 642 330 125 72 30 103 245 142 55 201 7
Aneides_flavipunctatus 7.5 98 2922 388 143 133 37 75 1078 995 271 579 7
Aneides_flavipunctatus 29.9 74 276 9 3 6 0 0 99 159 7 12 7
Aneides_hardii 4 99 1413 357 140 111 32 74 554 441 127 292 8
Aneides_hardii 4 99 1413 357 140 111 32 74 554 441 127 292 8
Aneides_hardii 5.4 100 354 66 24 14 6 22 128 76 30 121 8
Aneides_hardii 5.4 100 354 66 24 14 6 22 128 76 30 121 8
Aneides_hardii 2.1 82 42 20 10 5 2 3 19 12 6 6 8
Aneides_hardii 2.1 82 42 20 10 5 2 3 19 12 6 6 8
Aneides_hardii 6.1 99 403 66 24 14 6 22 150 85 36 133 8
Aneides_hardii 6.1 99 403 66 24 14 6 22 150 85 36 133 8
Anguilla_anguilla 1.9 100 36 19 7 10 1 1 14 19 2 2 1
Anguilla_australis_australis 1.9 88 34 19 11 6 1 1 20 12 2 1 2
Anguilla_australis_australis 1.9 94 36 19 7 9 1 2 14 18 2 3 2
Anguilla_australis_schmidti 1.9 94 36 19 7 9 1 2 14 18 2 3 1
Anguilla_bengalensis_labiata 8 99 151 19 8 9 1 1 64 71 8 9 1
Anguilla_bicolor_pacifica 1.9 94 36 19 7 9 1 2 14 18 2 3 1
Anguilla_celebesensis 1.9 88 36 19 7 8 1 3 14 17 2 4 1
Anguilla_dieffenbachii 2.7 93 48 18 7 8 1 2 18 24 3 4 1
Anguilla_interioris 1.9 88 36 19 7 8 1 3 14 17 2 4 1
Anguilla_luzonensis 1.9 88 36 19 7 9 1 2 13 18 3 3 1
Anguilla_marmorata 2 94 37 19 7 9 1 2 14 19 2 3 2
Anguilla_marmorata 2 100 65 33 12 7 5 9 24 14 10 18 2
Anguilla_megastoma 1.9 94 36 19 7 9 1 2 14 18 2 3 1
Anguilla_mossambica 2 86 43 22 11 4 0 7 21 8 0 15 2
Anguilla_mossambica 1.9 94 36 19 7 9 1 2 14 18 2 3 2
Anguilla_nebulosa_nebulosa 2 94 37 19 8 8 1 2 16 17 2 3 1
Anguilla_obscura 1.9 94 36 19 7 9 1 2 14 18 2 3 1
Anguilla_reinhardtii 1.9 100 36 19 7 10 1 1 14 19 2 2 1
Anguilla_rostrata 1.9 100 36 19 7 10 1 1 14 19 2 2 1
Anguis_cephallonica 5.5 95 317 58 17 11 7 23 99 54 32 133 2
Anguis_cephallonica 5 99 271 54 15 17 8 14 77 84 40 70 2
Anguis_fragilis 2.7 92 195 71 15 21 26 9 31 69 77 19 21
Anguis_fragilis 2.7 92 195 71 15 21 26 9 31 69 77 19 21
Anguis_fragilis 2.7 92 195 71 15 21 26 9 31 69 77 19 21
Anguis_fragilis 3.6 96 35 10 2 4 3 1 6 14 12 4 21
Anguis_fragilis 3.6 96 35 10 2 4 3 1 6 14 12 4 21
Anguis_fragilis 3.6 96 35 10 2 4 3 1 6 14 12 4 21
Anguis_fragilis 2.8 98 165 60 7 21 26 6 18 57 75 16 21
Anguis_fragilis 2.8 98 165 60 7 21 26 6 18 57 75 16 21
Anguis_fragilis 2.8 98 165 60 7 21 26 6 18 57 75 16 21
Anguis_fragilis 10 98 540 54 13 18 8 15 132 176 80 153 21
Anguis_fragilis 10 98 540 54 13 18 8 15 132 176 80 153 21
Anguis_fragilis 10 98 540 54 13 18 8 15 132 176 80 153 21
Anguis_fragilis 3.6 96 35 10 2 4 3 1 6 14 12 4 21
Anguis_fragilis 3.6 96 35 10 2 4 3 1 6 14 12 4 21
Anguis_fragilis 3.6 96 35 10 2 4 3 1 6 14 12 4 21
Anguis_fragilis 2.1 89 87 42 6 12 19 5 9 28 43 8 21
Anguis_fragilis 2.1 89 87 42 6 12 19 5 9 28 43 8 21
Anguis_fragilis 2.1 89 87 42 6 12 19 5 9 28 43 8 21
Anguis_fragilis 3.2 63 115 36 5 12 16 3 19 41 46 10 21
Anguis_fragilis 3.2 63 115 36 5 12 16 3 19 41 46 10 21
Anguis_fragilis 3.2 63 115 36 5 12 16 3 19 41 46 10 21
Anolis_carolinensis 9.5 93 561 59 14 21 7 17 129 203 70 158 1
Anomaloglossus_baeobatrachus 5 89 369 74 29 28 6 11 142 140 29 58 1
Anoura_caudifer 6.8 97 107 16 3 4 4 5 22 27 26 33 1
Anourosorex_squamipes 36.8 95 220 6 2 1 1 2 72 41 37 71 4
Anourosorex_squamipes 5.1 63 220 43 15 18 4 6 81 94 18 28 4
Anourosorex_squamipes 1.9 88 33 18 7 8 2 1 13 14 4 3 4
Anourosorex_squamipes 4.7 90 401 86 33 35 7 11 152 163 32 55 4
Anoxypristis_cuspidata 33 100 32 1 1 0 0 0 33 0 0 0 3
Anoxypristis_cuspidata 10.1 88 475 47 17 19 2 9 172 190 21 93 3
Anoxypristis_cuspidata 7.6 85 68 9 8 1 0 0 58 7 2 2 3
Anser_albifrons 2 84 51 27 10 1 1 15 18 3 3 28 1
Anseranas_semipalmata 15.8 100 125 8 4 1 1 2 64 16 15 31 1
Anthropoides_paradiseus 2 88 46 23 11 6 3 3 22 14 6 5 2
Anthropoides_paradiseus 2.4 81 53 23 10 7 3 3 24 16 6 8 2
Antigonia_capros 2 88 32 17 8 7 0 2 15 13 0 5 1
Antilocapra_americana 2.2 78 56 26 11 9 3 3 21 22 7 7 2
Antilocapra_americana 2.2 81 55 25 8 7 6 4 17 17 14 8 2
Anyperodon_leucogrammicus 14.8 100 251 17 7 7 1 2 104 104 15 29 1
Apalone_ferox 43.5 81 82 2 1 1 0 0 39 44 0 0 3
Apalone_ferox 6.3 99 314 50 12 20 4 14 79 124 24 88 3
Apalone_ferox 1.9 97 192 99 35 32 8 24 68 64 17 44 3
Apalone_spinifera 13.5 89 107 8 3 5 0 0 45 63 0 0 4
Apalone_spinifera 4.5 92 107 24 10 14 0 0 45 63 0 0 4
Apalone_spinifera 5.2 100 269 52 13 22 4 13 69 113 20 68 4
Apalone_spinifera 7.6 92 90 12 5 7 0 0 37 54 0 0 4
Apareiodon_affinis 2.6 79 43 18 7 8 2 1 16 19 6 3 1
Apodemus_chevrieri 2 100 77 39 7 14 11 7 14 28 22 14 2
Apodemus_chevrieri 2.3 90 33 15 4 8 0 3 8 18 0 8 2
Apodemus_draco 1.9 100 75 40 9 13 11 7 16 24 22 14 2
Apodemus_draco 2.1 88 32 17 7 5 0 5 15 9 0 9 2
Apodemus_latronum 2 85 50 25 11 8 3 3 23 18 5 5 2
Apodemus_latronum 2 97 76 39 8 13 11 7 15 26 22 14 2
Apodemus_peninsulae 2 86 43 22 10 11 0 1 18 25 0 1 3
Apodemus_peninsulae 2.1 90 35 17 7 10 0 0 15 21 0 0 3
Apodemus_peninsulae 2.4 81 50 21 10 10 0 1 23 26 0 2 3
Apolemichthys_kingi 2.6 100 158 62 17 23 9 13 44 58 22 35 1
Aprasia_parapulchella 3.6 92 71 20 9 2 1 8 28 9 7 28 4
Aprasia_parapulchella 5.7 100 56 10 4 1 1 4 23 6 5 23 4
Aprasia_parapulchella 2.8 83 85 30 12 4 3 11 34 12 8 32 4
Aprasia_parapulchella 1.9 100 133 72 24 13 13 22 43 25 26 40 4
Aptenodytes_forsteri 28.9 100 201 7 5 0 0 2 145 0 0 57 3
Aptenodytes_forsteri 2.6 98 218 84 27 30 7 20 72 79 17 51 3
Aptenodytes_forsteri 2 85 189 97 36 26 16 19 66 56 36 32 3
Apteronotus_albifrons 5.8 100 197 34 12 15 3 4 70 87 18 23 2
Apteronotus_albifrons 1.9 85 38 21 3 8 1 9 4 15 2 18 2
Apteryx_haastii 1.9 94 139 73 16 38 3 16 32 72 5 31 4
Apteryx_haastii 2.1 89 156 73 17 37 3 16 33 85 5 34 4
Apteryx_haastii 94 76 93 1 0 1 0 0 11 83 0 0 4
Apteryx_haastii 11.5 100 91 8 1 7 0 0 11 81 0 0 4
Apteryx_owenii 103 78 102 1 0 1 0 0 11 92 0 0 2
Apteryx_owenii 11.7 93 100 9 1 8 0 0 11 90 0 0 2
Aptocyclus_ventricosus 10.4 100 103 10 7 2 0 1 72 21 0 11 1
Apus_apus 21.6 100 280 13 8 2 0 3 174 42 0 65 1
Ara_militaris 2.2 82 46 21 5 7 0 9 10 15 0 22 4
Ara_militaris 2.2 82 46 21 5 7 0 9 10 15 0 22 4
Ara_militaris 3 100 29 10 5 2 0 3 15 6 0 9 4
Ara_militaris 3 100 29 10 5 2 0 3 15 6 0 9 4
Arapaima_gigas 14.5 100 28 2 1 1 0 0 15 14 0 0 1
Arborophila_rufogularis 2.1 85 37 19 9 2 2 6 17 6 3 12 1
Arctocephalus_pusillus 1.9 84 38 20 9 5 3 3 17 10 8 4 2
Arctocephalus_pusillus 18.4 100 257 14 6 3 1 4 111 55 18 74 2
Arctocephalus_townsendi 1.9 84 38 20 9 5 3 3 17 10 8 4 2
Arctocephalus_townsendi 20.5 100 163 8 3 2 1 2 62 41 20 41 2
Arctonyx_collaris 5.4 98 211 39 20 5 1 13 106 28 5 73 2
Arctonyx_collaris 13.9 74 217 16 8 3 0 5 109 30 5 74 2
Arctoscopus_japonicus 2 97 91 47 14 19 4 10 28 39 6 19 1
Arenaria_interpres 15 93 101 7 5 0 0 2 73 0 0 29 1
Arremon_aurantiirostris 2.1 93 30 15 2 3 0 10 4 6 1 20 3
Arremon_aurantiirostris 2.6 94 29 12 0 3 0 9 0 5 0 25 3
Arremon_aurantiirostris 2 85 40 20 4 7 0 9 9 15 1 16 3
Arripis_trutta 5.9 100 324 55 22 21 4 8 129 124 24 48 2
Arripis_trutta 31.3 97 375 12 6 6 0 0 195 181 0 0 2
Artibeus_jamaicensis 11.7 98 163 14 4 1 3 6 48 7 33 76 1
Artibeus_lituratus 14.1 97 196 14 4 1 2 7 57 15 34 91 2
Artibeus_lituratus 3.3 96 38 12 4 2 0 6 15 6 0 18 2
Asio_flammeus 3 79 66 23 9 4 1 9 28 13 3 23 5
Asio_flammeus 2 88 46 22 9 4 1 8 18 8 2 19 5
Asio_flammeus 3.1 78 71 24 10 4 1 9 30 14 3 25 5
Asio_flammeus 8.3 100 1047 126 34 43 10 39 284 354 85 325 5
Asio_flammeus 14.5 99 1132 78 33 18 7 20 478 263 102 290 5
Aspasma_minima 2.3 92 47 21 8 10 2 1 22 21 4 1 3
Aspasma_minima 20 100 39 2 1 1 0 0 20 20 0 0 3
Aspasma_minima 2.1 100 26 13 4 0 9 0 8 0 19 0 3
Aspiorhynchus_laticeps 13.5 100 26 2 1 1 0 0 13 14 0 0 1
Assurger_anzac 2.4 85 42 18 7 8 0 3 17 18 1 7 1
Ataxolepis_apus 2.7 100 147 55 18 26 3 8 49 70 7 22 2
Ataxolepis_apus 8.2 64 146 17 6 9 0 2 49 69 7 22 2
Ateles_belzebuth 2.2 100 25 12 8 4 0 0 18 8 0 0 1
Atule_mate 2.5 81 43 17 9 6 0 2 20 14 3 7 1
Atympanophrys_shapingensis 11.4 99 1107 97 25 40 8 24 290 451 94 273 1
Auchenoglanis_occidentalis 2 95 39 20 8 8 3 1 15 16 7 2 1
Aulonocara_stuartgranti 2.3 80 42 18 8 7 0 3 18 19 0 6 2
Aulonocara_stuartgranti 2 100 169 84 14 29 21 20 28 60 42 40 2
Austrolebias_charrua 1.8 97 298 165 49 70 16 30 87 128 27 57 1
Axis_axis 2.7 76 50 19 7 6 0 6 18 16 0 17 2
Axis_axis 2.9 86 41 15 6 4 0 5 17 9 0 16 2
Axis_porcinus 2.8 85 40 15 6 4 0 5 17 9 0 15 2
Axis_porcinus 2.8 79 50 18 1 8 0 9 4 25 0 22 2
Babina_adenopleura 109.7 91 1218 11 4 4 2 1 497 446 173 103 2
Babina_adenopleura 12.5 99 475 38 16 13 2 7 201 163 25 87 2
Bahaba_taipingensis 2 88 34 18 8 7 0 3 15 13 0 7 1
Balaenoptera_acutorostrata 2 93 29 15 6 2 0 7 12 5 0 13 1
Balaenoptera_bonaerensis 2.3 90 34 15 6 2 0 7 12 5 0 18 1
Balaenoptera_borealis 2.2 94 32 15 6 4 0 5 12 9 0 12 1
Balaenoptera_brydei 2.2 94 32 15 5 4 0 6 11 9 1 12 1
Balaenoptera_edeni 2.2 94 32 15 6 4 0 5 12 9 0 12 1
